关键词,一级分类,二级主题,搜索意图,搜索热度,热度分,数据来源
wps aipdf转word,AI品牌词,pdf转word,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai下载,AI品牌词,下载,WPS AI,中,0.6,工具知名度+词属性评估（相对热度档位）
wps ai做excel图表,AI品牌词,做excel图表,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai做ppt,AI品牌词,做ppt,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai做周报,AI品牌词,做周报,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai做思维导图,AI品牌词,做思维导图,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai做数据透视表,AI品牌词,做数据透视表,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai做表格,AI品牌词,做表格,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai入口,AI品牌词,入口,WPS AI,中,0.6,工具知名度+词属性评估（相对热度档位）
wps ai写excel公式,AI品牌词,写excel公式,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写产品介绍,AI品牌词,写产品介绍,WPS AI,中,0.6,工具知名度+词属性评估（相对热度档位）
wps ai写会议纪要,AI品牌词,写会议纪要,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写会议通知,AI品牌词,写会议通知,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写作,AI品牌词,写作,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写作文,AI品牌词,写作文,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写公文,AI品牌词,写公文,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写合同,AI品牌词,写合同,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写周报,AI品牌词,写周报,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写小红书文案,AI品牌词,写小红书文案,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写小说,AI品牌词,写小说,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
wps ai写工作总结,AI品牌词,写工作总结,WPS AI,低,0.5,工具知名度+词属性评估（相对热度档位）
